Sirpa	signal-regulatory protein alpha	MGI:MGI:108563
Klrk1	killer cell lectin-like receptor subfamily K, member 1	MGI:MGI:1196250
Mtor	mechanistic target of rapamycin kinase	MGI:MGI:1928394
Ass1	argininosuccinate synthetase 1	MGI:MGI:88090
App	amyloid beta (A4) precursor protein	MGI:MGI:88059
App	amyloid beta (A4) precursor protein	MGI:MGI:88059
Tnf	tumor necrosis factor	MGI:MGI:104798
Tnf	tumor necrosis factor	MGI:MGI:104798
Tnf	tumor necrosis factor	MGI:MGI:104798
Pdgfb	platelet derived growth factor, B polypeptide	MGI:MGI:97528
Tspo	translocator protein	MGI:MGI:88222
Tspo	translocator protein	MGI:MGI:88222
Ptk2b	PTK2 protein tyrosine kinase 2 beta	MGI:MGI:104908
Ptk2b	PTK2 protein tyrosine kinase 2 beta	MGI:MGI:104908
Raet1b	retinoic acid early transcript beta	MGI:MGI:109432
Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	MGI:MGI:104556
Nqo2	N-ribosyldihydronicotinamide quinone reductase 2	MGI:MGI:104513
Hvcn1	hydrogen voltage-gated channel 1	MGI:MGI:1921346
Ptger4	prostaglandin E receptor 4 (subtype EP4)	MGI:MGI:104311
Ddah1	dimethylarginine dimethylaminohydrolase 1	MGI:MGI:1916469
Itgb2	integrin beta 2	MGI:MGI:96611
Itgb2	integrin beta 2	MGI:MGI:96611
Itgam	integrin alpha M	MGI:MGI:96607
Ager	advanced glycosylation end product-specific receptor	MGI:MGI:893592
Agxt2	alanine-glyoxylate aminotransferase 2	MGI:MGI:2146052
Clu	clusterin	MGI:MGI:88423
Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	MGI:MGI:1339639
Eif5a	eukaryotic translation initiation factor 5A	MGI:MGI:106248
Prdx2	peroxiredoxin 2	MGI:MGI:109486
Bcr	BCR activator of RhoGEF and GTPase	MGI:MGI:88141
Akt2	thymoma viral proto-oncogene 2	MGI:MGI:104874
Atp2b4	ATPase, Ca++ transporting, plasma membrane 4	MGI:MGI:88111
Ier3	immediate early response 3	MGI:MGI:104814
Nox4	NADPH oxidase 4	MGI:MGI:1354184
Klf2	Kruppel-like factor 2 (lung)	MGI:MGI:1342772
Esr2	estrogen receptor 2 (beta)	MGI:MGI:109392
Tfap2a	transcription factor AP-2, alpha	MGI:MGI:104671
Lep	leptin	MGI:MGI:104663
F2	coagulation factor II	MGI:MGI:88380
Cd34	CD34 antigen	MGI:MGI:88329
Atg5	autophagy related 5	MGI:MGI:1277186
Parl	presenilin associated, rhomboid-like	MGI:MGI:1277152
Snca	synuclein, alpha	MGI:MGI:1277151
Tlr4	toll-like receptor 4	MGI:MGI:96824
Ndufc2	NADH:ubiquinone oxidoreductase subunit C2	MGI:MGI:1344370
Aif1	allograft inflammatory factor 1	MGI:MGI:1343098
Ngfr	nerve growth factor receptor (TNFR superfamily, member 16)	MGI:MGI:97323
Pkd2	polycystin 2, transient receptor potential cation channel	MGI:MGI:1099818
Sod1	superoxide dismutase 1, soluble	MGI:MGI:98351
Slc25a33	solute carrier family 25, member 33	MGI:MGI:1917806
Zfp13	zinc finger protein 13	MGI:MGI:99159
Prkcd	protein kinase C, delta	MGI:MGI:97598
Shc1	src homology 2 domain-containing transforming protein C1	MGI:MGI:98296
Stat3	signal transducer and activator of transcription 3	MGI:MGI:103038
Mmp8	matrix metallopeptidase 8	MGI:MGI:1202395
Ptgs2	prostaglandin-endoperoxide synthase 2	MGI:MGI:97798
Rgn	regucalcin	MGI:MGI:108024
Rgn	regucalcin	MGI:MGI:108024
G6pdx	glucose-6-phosphate dehydrogenase X-linked	MGI:MGI:105979
Nox1	NADPH oxidase 1	MGI:MGI:2450016
Cyba	cytochrome b-245, alpha polypeptide	MGI:MGI:1316658
Cyba	cytochrome b-245, alpha polypeptide	MGI:MGI:1316658
Zc3h12a	zinc finger CCCH type containing 12A	MGI:MGI:2385891
Zc3h12a	zinc finger CCCH type containing 12A	MGI:MGI:2385891
Foxo3	forkhead box O3	MGI:MGI:1890081
Foxo3	forkhead box O3	MGI:MGI:1890081
Foxo1	forkhead box O1	MGI:MGI:1890077
Akt1	thymoma viral proto-oncogene 1	MGI:MGI:87986
Agtr1a	angiotensin II receptor, type 1a	MGI:MGI:87964
Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	MGI:MGI:87963
Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	MGI:MGI:87963
Smad3	SMAD family member 3	MGI:MGI:1201674
Smad3	SMAD family member 3	MGI:MGI:1201674
Ctns	cystinosis, nephropathic	MGI:MGI:1932872
Ctns	cystinosis, nephropathic	MGI:MGI:1932872
Acp5	acid phosphatase 5, tartrate resistant	MGI:MGI:87883
Acp5	acid phosphatase 5, tartrate resistant	MGI:MGI:87883
Il18	interleukin 18	MGI:MGI:107936
Rock2	Rho-associated coiled-coil containing protein kinase 2	MGI:MGI:107926
Ticam1	toll-like receptor adaptor molecule 1	MGI:MGI:2147032
Park7	Parkinson disease (autosomal recessive, early onset) 7	MGI:MGI:2135637
Park7	Parkinson disease (autosomal recessive, early onset) 7	MGI:MGI:2135637
Ptgis	prostaglandin I2 (prostacyclin) synthase	MGI:MGI:1097156
Dnm2	dynamin 2	MGI:MGI:109547
Icam1	intercellular adhesion molecule 1	MGI:MGI:96392
Pink1	PTEN induced putative kinase 1	MGI:MGI:1916193
Pink1	PTEN induced putative kinase 1	MGI:MGI:1916193
Cd177	CD177 antigen	MGI:MGI:1916141
Brca1	breast cancer 1, early onset	MGI:MGI:104537
Prcp	prolylcarboxypeptidase (angiotensinase C)	MGI:MGI:1919711
Ptx3	pentraxin related gene	MGI:MGI:104641
Tgfbr2	transforming growth factor, beta receptor II	MGI:MGI:98729
Tlr5	toll-like receptor 5	MGI:MGI:1858171
Sod2	superoxide dismutase 2, mitochondrial	MGI:MGI:98352
Eef1a1	eukaryotic translation elongation factor 1 alpha 1	MGI:MGI:1096881
